"GEO_ID","NAME","B19013I_001E","B19013I_001EA","B19013I_001M","B19013I_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"8600000US06390","ZCTA5 06390","-","-","**","**",
"8600000US10001","ZCTA5 10001","76167","null","26028","null",
"8600000US10002","ZCTA5 10002","25417","null","2887","null",
"8600000US10003","ZCTA5 10003","57734","null","37200","null",
"8600000US10004","ZCTA5 10004","136319","null","101785","null",
"8600000US10005","ZCTA5 10005","201708","null","29302","null",
"8600000US10006","ZCTA5 10006","116389","null","72736","null",
"8600000US10007","ZCTA5 10007","250,000+","250,000+","***","***",
"8600000US10009","ZCTA5 10009","34041","null","6730","null",
"8600000US10010","ZCTA5 10010","42003","null","37769","null",
"8600000US10011","ZCTA5 10011","54241","null","27510","null",
"8600000US10012","ZCTA5 10012","95510","null","39513","null",
"8600000US10013","ZCTA5 10013","136618","null","79234","null",
"8600000US10014","ZCTA5 10014","104806","null","28402","null",
"8600000US10016","ZCTA5 10016","77596","null","38936","null",
"8600000US10017","ZCTA5 10017","-","-","**","**",
"8600000US10018","ZCTA5 10018","90477","null","12024","null",
"8600000US10019","ZCTA5 10019","40755","null","13577","null",
"8600000US10020","ZCTA5 10020","-","-","**","**",
"8600000US10021","ZCTA5 10021","74824","null","50976","null",
"8600000US10022","ZCTA5 10022","101053","null","47520","null",
"8600000US10023","ZCTA5 10023","103299","null","32481","null",
"8600000US10024","ZCTA5 10024","78459","null","25209","null",
"8600000US10025","ZCTA5 10025","32550","null","7931","null",
"8600000US10026","ZCTA5 10026","39596","null","10509","null",
"8600000US10027","ZCTA5 10027","34367","null","7838","null",
"8600000US10028","ZCTA5 10028","95929","null","36427","null",
"8600000US10029","ZCTA5 10029","23066","null","3257","null",
"8600000US10030","ZCTA5 10030","33263","null","6485","null",
"8600000US10031","ZCTA5 10031","40666","null","3740","null",
"8600000US10032","ZCTA5 10032","44420","null","4012","null",
"8600000US10033","ZCTA5 10033","44298","null","8706","null",
"8600000US10034","ZCTA5 10034","41316","null","6016","null",
"8600000US10035","ZCTA5 10035","21967","null","4245","null",
"8600000US10036","ZCTA5 10036","40057","null","7338","null",
"8600000US10037","ZCTA5 10037","32722","null","16336","null",
"8600000US10038","ZCTA5 10038","35068","null","9241","null",
"8600000US10039","ZCTA5 10039","33527","null","3088","null",
"8600000US10040","ZCTA5 10040","37672","null","2852","null",
"8600000US10044","ZCTA5 10044","49520","null","29129","null",
"8600000US10065","ZCTA5 10065","170833","null","119777","null",
"8600000US10069","ZCTA5 10069","-","-","**","**",
"8600000US10075","ZCTA5 10075","145998","null","81568","null",
"8600000US10103","ZCTA5 10103","-","-","**","**",
"8600000US10110","ZCTA5 10110","-","-","**","**",
"8600000US10111","ZCTA5 10111","-","-","**","**",
"8600000US10112","ZCTA5 10112","-","-","**","**",
"8600000US10115","ZCTA5 10115","-","-","**","**",
"8600000US10119","ZCTA5 10119","-","-","**","**",
"8600000US10128","ZCTA5 10128","69506","null","9894","null",
"8600000US10152","ZCTA5 10152","-","-","**","**",
"8600000US10153","ZCTA5 10153","-","-","**","**",
"8600000US10154","ZCTA5 10154","-","-","**","**",
"8600000US10162","ZCTA5 10162","-","-","**","**",
"8600000US10165","ZCTA5 10165","-","-","**","**",
"8600000US10167","ZCTA5 10167","-","-","**","**",
"8600000US10168","ZCTA5 10168","-","-","**","**",
"8600000US10169","ZCTA5 10169","-","-","**","**",
"8600000US10170","ZCTA5 10170","-","-","**","**",
"8600000US10171","ZCTA5 10171","-","-","**","**",
"8600000US10172","ZCTA5 10172","-","-","**","**",
"8600000US10173","ZCTA5 10173","-","-","**","**",
"8600000US10174","ZCTA5 10174","-","-","**","**",
"8600000US10177","ZCTA5 10177","-","-","**","**",
"8600000US10199","ZCTA5 10199","-","-","**","**",
"8600000US10271","ZCTA5 10271","-","-","**","**",
"8600000US10278","ZCTA5 10278","-","-","**","**",
"8600000US10279","ZCTA5 10279","-","-","**","**",
"8600000US10280","ZCTA5 10280","184313","null","76003","null",
"8600000US10282","ZCTA5 10282","-","-","**","**",
"8600000US10301","ZCTA5 10301","45632","null","6132","null",
"8600000US10302","ZCTA5 10302","53831","null","7207","null",
"8600000US10303","ZCTA5 10303","61563","null","12539","null",
"8600000US10304","ZCTA5 10304","34611","null","14450","null",
"8600000US10305","ZCTA5 10305","46429","null","24838","null",
"8600000US10306","ZCTA5 10306","64048","null","14078","null",
"8600000US10307","ZCTA5 10307","76365","null","28378","null",
"8600000US10308","ZCTA5 10308","81176","null","19812","null",
"8600000US10309","ZCTA5 10309","99344","null","27262","null",
"8600000US10310","ZCTA5 10310","49783","null","12425","null",
"8600000US10311","ZCTA5 10311","-","-","**","**",
"8600000US10312","ZCTA5 10312","78250","null","17400","null",
"8600000US10314","ZCTA5 10314","84831","null","14618","null",
"8600000US10451","ZCTA5 10451","28176","null","2744","null",
"8600000US10452","ZCTA5 10452","28408","null","2719","null",
"8600000US10453","ZCTA5 10453","27240","null","2906","null",
"8600000US10454","ZCTA5 10454","20409","null","2287","null",
"8600000US10455","ZCTA5 10455","27769","null","4479","null",
"8600000US10456","ZCTA5 10456","27933","null","3429","null",
"8600000US10457","ZCTA5 10457","29151","null","2971","null",
"8600000US10458","ZCTA5 10458","35429","null","2490","null",
"8600000US10459","ZCTA5 10459","28141","null","2533","null",
"8600000US10460","ZCTA5 10460","26236","null","1916","null",
"8600000US10461","ZCTA5 10461","56128","null","6378","null",
"8600000US10462","ZCTA5 10462","53398","null","3402","null",
"8600000US10463","ZCTA5 10463","47878","null","4338","null",
"8600000US10464","ZCTA5 10464","65185","null","60831","null",
"8600000US10465","ZCTA5 10465","75733","null","7513","null",
"8600000US10466","ZCTA5 10466","33566","null","5791","null",
"8600000US10467","ZCTA5 10467","37711","null","2893","null",
"8600000US10468","ZCTA5 10468","35948","null","2877","null",
"8600000US10469","ZCTA5 10469","52921","null","9592","null",
"8600000US10470","ZCTA5 10470","47679","null","13045","null",
"8600000US10471","ZCTA5 10471","72475","null","13083","null",
"8600000US10472","ZCTA5 10472","32938","null","2495","null",
"8600000US10473","ZCTA5 10473","39302","null","5535","null",
"8600000US10474","ZCTA5 10474","22444","null","4296","null",
"8600000US10475","ZCTA5 10475","49429","null","18756","null",
"8600000US10501","ZCTA5 10501","235375","null","192101","null",
"8600000US10502","ZCTA5 10502","185625","null","67628","null",
"8600000US10503","ZCTA5 10503","-","-","**","**",
"8600000US10504","ZCTA5 10504","66152","null","24068","null",
"8600000US10505","ZCTA5 10505","-","-","**","**",
"8600000US10506","ZCTA5 10506","133036","null","124417","null",
"8600000US10507","ZCTA5 10507","44008","null","28232","null",
"8600000US10509","ZCTA5 10509","75884","null","24969","null",
"8600000US10510","ZCTA5 10510","116696","null","44613","null",
"8600000US10511","ZCTA5 10511","68625","null","25802","null",
"8600000US10512","ZCTA5 10512","118649","null","19167","null",
"8600000US10514","ZCTA5 10514","250,000+","250,000+","***","***",
"8600000US10516","ZCTA5 10516","80375","null","56005","null",
"8600000US10517","ZCTA5 10517","-","-","**","**",
"8600000US10518","ZCTA5 10518","-","-","**","**",
"8600000US10519","ZCTA5 10519","-","-","**","**",
"8600000US10520","ZCTA5 10520","66706","null","17008","null",
"8600000US10522","ZCTA5 10522","97847","null","71067","null",
"8600000US10523","ZCTA5 10523","92363","null","12927","null",
"8600000US10524","ZCTA5 10524","84500","null","43240","null",
"8600000US10526","ZCTA5 10526","-","-","**","**",
"8600000US10527","ZCTA5 10527","-","-","**","**",
"8600000US10528","ZCTA5 10528","111544","null","45151","null",
"8600000US10530","ZCTA5 10530","98750","null","37773","null",
"8600000US10532","ZCTA5 10532","106667","null","68749","null",
"8600000US10533","ZCTA5 10533","-","-","**","**",
"8600000US10535","ZCTA5 10535","-","-","**","**",
"8600000US10536","ZCTA5 10536","160129","null","147311","null",
"8600000US10537","ZCTA5 10537","-","-","**","**",
"8600000US10538","ZCTA5 10538","74665","null","16120","null",
"8600000US10541","ZCTA5 10541","79904","null","13857","null",
"8600000US10543","ZCTA5 10543","72135","null","28550","null",
"8600000US10545","ZCTA5 10545","-","-","**","**",
"8600000US10546","ZCTA5 10546","-","-","**","**",
"8600000US10547","ZCTA5 10547","112188","null","32055","null",
"8600000US10548","ZCTA5 10548","91477","null","26170","null",
"8600000US10549","ZCTA5 10549","71536","null","26149","null",
"8600000US10550","ZCTA5 10550","44308","null","12921","null",
"8600000US10552","ZCTA5 10552","87618","null","11696","null",
"8600000US10553","ZCTA5 10553","132500","null","87260","null",
"8600000US10560","ZCTA5 10560","114853","null","27161","null",
"8600000US10562","ZCTA5 10562","53980","null","15028","null",
"8600000US10566","ZCTA5 10566","49835","null","4738","null",
"8600000US10567","ZCTA5 10567","96477","null","38439","null",
"8600000US10570","ZCTA5 10570","-","-","**","**",
