Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BROOKLYN/QUEENS,66AK,190,2018/6/20
BROOKLYN/QUEENS,67AK,360,2018/6/20
BROOKLYN/QUEENS,68AK,100,2018/6/20
BROOKLYN/QUEENS,63AQ,35,2018/6/20
BROOKLYN/QUEENS,64AM,135,2018/6/20
BROOKLYN/QUEENS,65AM,275,2018/6/20
BROOKLYN/QUEENS,66AM,95,2018/6/20
BROOKLYN/QUEENS,67AM,115,2018/6/20
BROOKLYN/QUEENS,68AM,85,2018/6/20
BROOKLYN/QUEENS,64AN,100,2018/6/20
BROOKLYN/QUEENS,65AN,345,2018/6/20
BROOKLYN/QUEENS,66AN,220,2018/6/20
BROOKLYN/QUEENS,67AN,130,2018/6/20
BROOKLYN/QUEENS,68AN,180,2018/6/20
BROOKLYN/QUEENS,63AP,320,2018/6/20
BROOKLYN/QUEENS,64AP,50,2018/6/20
BROOKLYN/QUEENS,65AP,,
BROOKLYN/QUEENS,63AS,20,2018/6/20
BROOKLYN/QUEENS,64AS,65,2018/6/20
BROOKLYN/QUEENS,65AS,,
BROOKLYN/QUEENS,66AS,,
BROOKLYN/QUEENS,64AR,50,2018/6/20
BROOKLYN/QUEENS,66AR,,
BROOKLYN/QUEENS,67AR,60,2018/6/20
BROOKLYN/QUEENS,68AR,,
BROOKLYN/QUEENS,72AR,150,2018/6/20
BROOKLYN/QUEENS,73AR,,
BROOKLYN/QUEENS,74AR,,
BROOKLYN/QUEENS,75AR,,
BROOKLYN/QUEENS,72AQ,,
BROOKLYN/QUEENS,73AQ,30,2018/6/20
BROOKLYN/QUEENS,64AO,95,2018/6/20
BROOKLYN/QUEENS,65AO,125,2018/6/20
BROOKLYN/QUEENS,66AO,60,2018/6/20
BROOKLYN/QUEENS,67AO,170,2018/6/20
BROOKLYN/QUEENS,63AU,1115,2018/6/20
BROOKLYN/QUEENS,64AU,530,2018/6/20
BROOKLYN/QUEENS,65AU,250,2018/6/20
BROOKLYN/QUEENS,66AU,355,2018/6/20
BROOKLYN/QUEENS,67AU,55,2018/6/20
BROOKLYN/QUEENS,68AU,,
BROOKLYN/QUEENS,69AU,,
BROOKLYN/QUEENS,63AT,,
BROOKLYN/QUEENS,64AT,20,2018/6/20
BROOKLYN/QUEENS,65AT,95,2018/6/20
BROOKLYN/QUEENS,66AT,,
BROOKLYN/QUEENS,67AT,40,2018/6/20
BROOKLYN/QUEENS,71AT,,
BROOKLYN/QUEENS,72AT,,
BROOKLYN/QUEENS,73AT,,
BROOKLYN/QUEENS,74AT,,
BROOKLYN/QUEENS,75AT,,
BROOKLYN/QUEENS,76AT,,
BROOKLYN/QUEENS,62AW,795,2018/6/20
BROOKLYN/QUEENS,63AW,640,2018/6/20
BROOKLYN/QUEENS,64AW,930,2018/6/20
BROOKLYN/QUEENS,65AW,665,2018/6/20
BROOKLYN/QUEENS,66AW,180,2018/6/20
BROOKLYN/QUEENS,67AW,195,2018/6/20
BROOKLYN/QUEENS,68AW,280,2018/6/20
BROOKLYN/QUEENS,69AW,30,2018/6/20
BROOKLYN/QUEENS,73AW,,
BROOKLYN/QUEENS,74AW,,
BROOKLYN/QUEENS,75AW,,
BROOKLYN/QUEENS,76AW,,
BROOKLYN/QUEENS,71AV,,
BROOKLYN/QUEENS,72AV,200,2018/6/20
BROOKLYN/QUEENS,73AV,,
BROOKLYN/QUEENS,69AX,105,2018/6/20
BROOKLYN/QUEENS,70AX,,
BROOKLYN/QUEENS,71AX,25,2018/6/20
BROOKLYN/QUEENS,72AX,,
BROOKLYN/QUEENS,73AX,,
BROOKLYN/QUEENS,68AT,,
BROOKLYN/QUEENS,69AT,,
BROOKLYN/QUEENS,70AW,475,2018/6/20
BROOKLYN/QUEENS,71AW,,
BROOKLYN/QUEENS,72AW,,
BROOKLYN/QUEENS,62AV,1685,2018/6/20
BROOKLYN/QUEENS,63AV,1960,2018/6/20
BROOKLYN/QUEENS,64AV,1330,2018/6/20
BROOKLYN/QUEENS,65AV,585,2018/6/20
BROOKLYN/QUEENS,66AV,215,2018/6/20
