Borough,ZCTA,min,median,average,max,sum,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_Asian,Inc_Hisp/Lati,Inc_White,Inc_Black/AfricanAmer,Inc_Asian
BROOKLYN/QUEENS,11239,20,40.0,135.71428571428572,475,950,12772,2344,2593,7209,474,30321,15087,42659,21094
BROOKLYN/QUEENS,11354,25,240.0,384.86486486486484,1960,14240,53684,8000,8508,1556,34296,46793,49425,24306,37791
BROOKLYN/QUEENS,11355,35,145.0,310.86206896551727,1380,9015,80987,12526,5842,2225,58708,54086,51756,56827,39542
BROOKLYN/QUEENS,11356,30,102.5,135.0,345,810,23494,9450,5514,418,7475,61970,61592,-,63507
BROOKLYN/QUEENS,11357,35,90.0,108.61111111111111,475,1955,39407,6179,23240,176,9111,86584,87477,99250,74278
BROOKLYN/QUEENS,11358,25,115.0,130.41666666666666,370,3130,36515,5907,12186,148,17349,63826,75356,65938,63830
BROOKLYN/QUEENS,11359,15,100.0,71.66666666666667,100,215,0,0,0,0,0,-,-,-,-
BROOKLYN/QUEENS,11360,15,135.0,200.0,895,2200,18954,2008,9491,147,6975,84940,80750,-,91210
BROOKLYN/QUEENS,11361,10,135.0,168.42105263157896,610,3200,27201,3400,11123,1139,11232,91364,92206,90197,78279
BROOKLYN/QUEENS,11362,10,60.0,102.14285714285714,270,1430,18343,1941,7765,544,7647,57200,84722,245492,102305
BROOKLYN/QUEENS,11364,10,80.0,98.6,365,2465,36215,4170,11902,1089,18158,95027,77538,91393,84578
BROOKLYN/QUEENS,11365,5,110.0,169.375,775,4065,44738,9144,10734,3647,19748,75729,67321,45313,71653
BROOKLYN/QUEENS,11366,30,97.5,199.16666666666666,485,1195,14360,1601,5374,770,6254,67153,99655,80069,73393
BROOKLYN/QUEENS,11367,5,120.0,176.48648648648648,745,6530,41207,7017,18921,2616,11055,59271,73850,54417,52314
BROOKLYN/QUEENS,11368,0,220.0,296.6666666666667,1115,13350,112088,85741,4178,7978,13001,56235,40320,49768,46776
BROOKLYN/QUEENS,11369,50,135.0,215.0,655,4945,31481,19205,2735,4954,4126,50560,78068,53977,62697
BROOKLYN/QUEENS,11370,60,125.0,196.5,685,3930,31580,12068,7744,4179,7157,61029,63375,36955,74307
BROOKLYN/QUEENS,11371,140,140.0,140.0,140,140,0,0,0,0,0,-,-,-,-
BROOKLYN/QUEENS,11372,270,695.0,719.5454545454545,1220,7915,62854,36118,11038,1459,13042,51757,77408,62734,58629
BROOKLYN/QUEENS,11373,40,465.0,523.8461538461538,1910,13620,94437,39372,5838,1533,45770,52674,54588,77530,57560
BROOKLYN/QUEENS,11374,50,337.5,409.72222222222223,1045,7375,43507,7445,18734,1649,13626,63641,61823,79226,78769
BROOKLYN/QUEENS,11375,10,195.0,312.9166666666667,1435,11265,73034,10967,36346,1765,20959,78837,81210,89554,100307
BROOKLYN/QUEENS,11377,15,222.5,268.75,690,11825,83825,31459,17359,1847,30889,55361,71468,32826,56848
BROOKLYN/QUEENS,11378,10,205.0,210.6578947368421,670,8005,38524,12704,20629,493,3938,72202,82209,80000,73262
BROOKLYN/QUEENS,11379,25,105.0,139.0,525,3475,37991,7717,25310,262,4178,59688,88200,69167,98088
BROOKLYN/QUEENS,11385,55,247.5,263.1,850,13155,107796,48560,48807,1907,6969,70853,77568,85379,77176
BROOKLYN/QUEENS,11411,25,40.0,35.0,40,105,20719,1278,223,18834,56,88661,94250,101047,128438
BROOKLYN/QUEENS,11412,30,40.0,45.0,65,135,37857,2244,380,32660,949,90508,-,80427,77727
BROOKLYN/QUEENS,11413,60,75.0,114.44444444444444,220,1030,41650,2377,645,36967,506,87344,93438,94161,94006
BROOKLYN/QUEENS,11414,165,165.0,165.0,165,165,28313,6164,19686,585,1157,60719,79300,102266,63125
BROOKLYN/QUEENS,11415,35,215.0,291.3636363636364,870,3205,18891,4748,9141,1161,3067,62529,72643,71823,82614
BROOKLYN/QUEENS,11416,35,135.0,138.92857142857142,260,1945,26744,12050,3357,1294,8820,75099,71542,74760,67167
BROOKLYN/QUEENS,11417,25,57.5,128.75,400,1030,31321,11749,6066,1908,9291,86641,73979,66115,78056
BROOKLYN/QUEENS,11418,10,162.5,197.85714285714286,845,5540,38405,17706,5750,2761,9035,64741,66958,63684,76884
BROOKLYN/QUEENS,11419,40,195.0,181.53846153846155,445,2360,48369,9109,1945,7289,16434,71532,80694,90405,75513
BROOKLYN/QUEENS,11420,140,140.0,140.0,140,140,47470,11872,2386,11320,15463,82569,62426,71555,81523
BROOKLYN/QUEENS,11421,35,135.0,154.34782608695653,365,3550,41251,24355,6634,1035,8103,76028,64009,65809,86352
BROOKLYN/QUEENS,11422,65,87.5,87.5,110,175,32761,3571,1031,26597,697,81382,46523,90386,83281
BROOKLYN/QUEENS,11423,10,120.0,134.52380952380952,325,2825,30104,4113,2807,11605,8629,59617,92656,70470,86692
BROOKLYN/QUEENS,11425,25,35.0,60.0,120,180,0,0,0,0,0,-,-,-,-
BROOKLYN/QUEENS,11426,30,30.0,30.0,30,30,20524,4092,5666,1124,8959,110694,86222,64178,118457
BROOKLYN/QUEENS,11427,10,82.5,105.3125,310,1685,24560,4784,4562,4887,8238,76890,83750,64798,92260
BROOKLYN/QUEENS,11428,10,130.0,150.76923076923077,375,1960,18836,4743,2006,3858,4870,75958,54028,91727,82045
BROOKLYN/QUEENS,11429,15,107.5,100.0,190,600,27454,3806,516,19383,1231,94625,100045,89391,135685
BROOKLYN/QUEENS,11432,15,225.0,350.12820512820514,2110,13655,64299,15166,8153,9805,27246,53879,82083,60208,70376
BROOKLYN/QUEENS,11433,15,92.5,198.0,1125,1980,37021,6328,804,23106,3580,49419,86447,58568,65560
BROOKLYN/QUEENS,11434,55,72.5,83.75,135,335,64304,5207,1028,53780,2000,69917,68750,63055,81938
BROOKLYN/QUEENS,11435,10,237.5,344.03846153846155,1685,8945,59605,18696,7299,13740,13894,58179,69099,73626,66834
BROOKLYN/QUEENS,11436,40,40.0,40.0,40,40,19167,2815,330,11673,1703,84395,59063,72702,76875
BROOKLYN/QUEENS,11693,10,42.5,42.5,75,85,12944,3812,5772,2376,571,52316,71091,51842,38445
