ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
2003,BROOKLYN/QUEENS,73AD,135,2018-06-20 00:00:00,73,AD,73.92478451,40.77869658,11102
1979,BROOKLYN/QUEENS,71AE,195,2018-06-20 00:00:00,71,AE,73.9187748,40.77386634,11102
1993,BROOKLYN/QUEENS,72AD,205,2018-06-20 00:00:00,72,AD,73.92425071,40.77599868,11102
1990,BROOKLYN/QUEENS,72AA,210,2018-06-20 00:00:00,72,AA,73.93907707,40.77430201,11102
2011,BROOKLYN/QUEENS,74AE,235,2018-06-20 00:00:00,74,AE,73.92037619,40.78196003,11102
1963,BROOKLYN/QUEENS,70AE,285,2018-06-20 00:00:00,70,AE,73.918241,40.77116844,11102
1960,BROOKLYN/QUEENS,70AB,290,2018-06-20 00:00:00,70,AB,73.93306736,40.76947177,11102
1961,BROOKLYN/QUEENS,70AC,310,2018-06-20 00:00:00,70,AC,73.92812524,40.77003733,11102
1978,BROOKLYN/QUEENS,71AD,325,2018-06-20 00:00:00,71,AD,73.92371692,40.77330078,11102
1991,BROOKLYN/QUEENS,72AB,345,2018-06-20 00:00:00,72,AB,73.93413495,40.77486757,11102
1962,BROOKLYN/QUEENS,70AD,425,2018-06-20 00:00:00,70,AD,73.92318312,40.77060288,11102
1920,BROOKLYN/QUEENS,68AD,525,2018-06-20 00:00:00,68,AD,73.92211553,40.76520709,11102
1976,BROOKLYN/QUEENS,71AB,530,2018-06-20 00:00:00,71,AB,73.93360115,40.77216967,11102
1977,BROOKLYN/QUEENS,71AC,600,2018-06-20 00:00:00,71,AC,73.92865903,40.77273523,11102
1943,BROOKLYN/QUEENS,69AD,740,2018-06-20 00:00:00,69,AD,73.92264932,40.76790499,11102
1942,BROOKLYN/QUEENS,69AC,1650,2018-06-20 00:00:00,69,AC,73.92759144,40.76733943,11102
1838,BROOKLYN/QUEENS,65AE,100,2018-06-20 00:00:00,65,AE,73.91557202,40.75767895,11103
1923,BROOKLYN/QUEENS,68AG,160,2018-06-20 00:00:00,68,AG,73.90728917,40.76690376,11103
1803,BROOKLYN/QUEENS,64AE,200,2018-06-20 00:00:00,64,AE,73.91503822,40.75498106,11103
1869,BROOKLYN/QUEENS,66AF,240,2018-06-20 00:00:00,66,AF,73.9111637,40.76094241,11103
1895,BROOKLYN/QUEENS,67AF,280,2018-06-20 00:00:00,67,AF,73.91169749,40.76364031,11103
1945,BROOKLYN/QUEENS,69AF,320,2018-06-20 00:00:00,69,AF,73.91276509,40.7690361,11103
1868,BROOKLYN/QUEENS,66AE,335,2018-06-20 00:00:00,66,AE,73.91610582,40.76037685,11103
1944,BROOKLYN/QUEENS,69AE,335,2018-06-20 00:00:00,69,AE,73.9177072,40.76847054,11103
1922,BROOKLYN/QUEENS,68AF,365,2018-06-20 00:00:00,68,AF,73.91223129,40.7663382,11103
1837,BROOKLYN/QUEENS,65AD,370,2018-06-20 00:00:00,65,AD,73.92051414,40.7571134,11103
1921,BROOKLYN/QUEENS,68AE,515,2018-06-20 00:00:00,68,AE,73.91717341,40.76577265,11103
1894,BROOKLYN/QUEENS,67AE,540,2018-06-20 00:00:00,67,AE,73.91663961,40.76307475,11103
1896,BROOKLYN/QUEENS,67AG,555,2018-06-20 00:00:00,67,AG,73.90675538,40.76420586,11103
1525,BROOKLYN/QUEENS,56AB,15,2018-06-20 00:00:00,56,AB,73.92559421,40.73170121,11104
1727,BROOKLYN/QUEENS,62AD,105,2018-06-20 00:00:00,62,AD,73.91891275,40.74901971,11104
1765,BROOKLYN/QUEENS,63AC,130,2018-06-20 00:00:00,63,AC,73.92438867,40.75115205,11104
1550,BROOKLYN/QUEENS,57AC,135,2018-06-20 00:00:00,57,AC,73.92118589,40.73496466,11104
1726,BROOKLYN/QUEENS,62AC,160,2018-06-20 00:00:00,62,AC,73.92385487,40.74845415,11104
1725,BROOKLYN/QUEENS,62AB,195,2018-06-20 00:00:00,62,AB,73.92879699,40.74788859,11104
1580,BROOKLYN/QUEENS,58AB,200,2018-06-20 00:00:00,58,AB,73.9266618,40.737097,11104
1728,BROOKLYN/QUEENS,62AE,250,2018-06-20 00:00:00,62,AE,73.91397063,40.74958526,11104
