,ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Lat,Long,Zip,ZCTA
59,12,MANHATTAN,4I,9765,2018-06-20 00:00:00,4,I,40.70757085,74.01103064,10005,10005
60,11,MANHATTAN,4H,3110,2018-06-20 00:00:00,4,H,40.70909706,74.01466028,10006,10006
61,16,MANHATTAN,5H,110,2018-06-20 00:00:00,5,H,40.71113525,74.01317611,10007,10007
62,35,MANHATTAN,8J,1560,2018-06-20 00:00:00,8,J,40.71419739,74.00146435,10007,10007
63,27,MANHATTAN,7H,2040,2018-06-20 00:00:00,7,H,40.71521163,74.01020778,10007,10007
64,28,MANHATTAN,7I,2720,2018-06-20 00:00:00,7,I,40.71368541,74.00657815,10007,10007
65,34,MANHATTAN,8I,2870,2018-06-20 00:00:00,8,I,40.7157236,74.00509399,10007,10007
66,123,MANHATTAN,17N,100,2018-06-20 00:00:00,17,N,40.72643624,73.97358834,10009,10009
67,110,MANHATTAN,16L,190,2018-06-20 00:00:00,16,L,40.72745047,73.98233177,10009,10009
68,91,MANHATTAN,14O,390,2018-06-20 00:00:00,14,O,40.71879546,73.9744112,10009,10009
69,134,MANHATTAN,18N,410,2018-06-20 00:00:00,18,N,40.72847443,73.97210418,10009,10009
70,112,MANHATTAN,16N,445,2018-06-20 00:00:00,16,N,40.72439805,73.9750725,10009,10009
71,122,MANHATTAN,17M,550,2018-06-20 00:00:00,17,M,40.72796245,73.97721797,10009,10009
72,90,MANHATTAN,14N,580,2018-06-20 00:00:00,14,N,40.72032167,73.97804083,10009,10009
73,88,MANHATTAN,14L,620,2018-06-20 00:00:00,14,L,40.7233741,73.9853001,10009,10009
74,132,MANHATTAN,18L,660,2018-06-20 00:00:00,18,L,40.73152685,73.97936344,10009,10009
75,143,MANHATTAN,19L,670,2018-06-20 00:00:00,19,L,40.73356504,73.97787928,10009,10009
76,133,MANHATTAN,18M,700,2018-06-20 00:00:00,18,M,40.73000064,73.97573381,10009,10009
77,100,MANHATTAN,15M,765,2018-06-20 00:00:00,15,M,40.72388607,73.9801863,10009,10009
78,121,MANHATTAN,17L,840,2018-06-20 00:00:00,17,L,40.72948866,73.98084761,10009,10009
79,101,MANHATTAN,15N,885,2018-06-20 00:00:00,15,N,40.72235986,73.97655667,10009,10009
80,87,MANHATTAN,14K,950,2018-06-20 00:00:00,14,K,40.72490031,73.98892973,10009,10009
81,99,MANHATTAN,15L,1125,2018-06-20 00:00:00,15,L,40.72541229,73.98381594,10009,10009
82,111,MANHATTAN,16M,1150,2018-06-20 00:00:00,16,M,40.72592426,73.97870214,10009,10009
83,89,MANHATTAN,14M,1310,2018-06-20 00:00:00,14,M,40.72184788,73.98167047,10009,10009
84,155,MANHATTAN,20M,70,2018-06-20 00:00:00,20,M,40.73407702,73.97276548,10010,10010
85,154,MANHATTAN,20L,385,2018-06-20 00:00:00,20,L,40.73560323,73.97639511,10010,10010
86,144,MANHATTAN,19M,560,2018-06-20 00:00:00,19,M,40.73203883,73.97424965,10010,10010
87,152,MANHATTAN,20J,2305,2018-06-20 00:00:00,20,J,40.73865566,73.98365438,10010,10010
88,153,MANHATTAN,20K,2305,2018-06-20 00:00:00,20,K,40.73712944,73.98002475,10010,10010
89,163,MANHATTAN,21J,2785,2018-06-20 00:00:00,21,J,40.74069385,73.98217022,10010,10010
90,165,MANHATTAN,21L,3115,2018-06-20 00:00:00,21,L,40.73764142,73.97491095,10010,10010
91,164,MANHATTAN,21K,3375,2018-06-20 00:00:00,21,K,40.73916763,73.97854058,10010,10010
92,161,MANHATTAN,21H,3920,2018-06-20 00:00:00,21,H,40.74374627,73.98942948,10010,10010
93,162,MANHATTAN,21I,4685,2018-06-20 00:00:00,21,I,40.74222006,73.98579985,10010,10010
94,150,MANHATTAN,20H,5475,2018-06-20 00:00:00,20,H,40.74170808,73.99091365,10010,10010
95,151,MANHATTAN,20I,5485,2018-06-20 00:00:00,20,I,40.74018187,73.98728401,10010,10010
96,145,MANHATTAN,20C,40,2018-06-20 00:00:00,20,C,40.74933915,74.00906181,10011,10011
97,136,MANHATTAN,19E,470,2018-06-20 00:00:00,19,E,40.74424853,74.00328671,10011,10011
98,106,MANHATTAN,16H,860,2018-06-20 00:00:00,16,H,40.73355533,73.9968503,10011,10011
99,146,MANHATTAN,20D,1090,2018-06-20 00:00:00,20,D,40.74781294,74.00543218,10011,10011
100,147,MANHATTAN,20E,1250,2018-06-20 00:00:00,20,E,40.74628672,74.00180255,10011,10011
101,148,MANHATTAN,20F,1290,2018-06-20 00:00:00,20,F,40.74476051,73.99817291,10011,10011
102,127,MANHATTAN,18G,1760,2018-06-20 00:00:00,18,G,40.73915792,73.99751161,10011,10011
