Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
MANHATTAN,59C,450,2018/6/20
MANHATTAN,60C,515,2018/6/20
MANHATTAN,61C,100,2018/6/20
MANHATTAN,62C,890,2018/6/20
MANHATTAN,63C,790,2018/6/20
MANHATTAN,44D,1583,2018/6/20
MANHATTAN,45D,1350,2018/6/20
MANHATTAN,46D,1240,2018/6/20
MANHATTAN,47D,660,2018/6/20
MANHATTAN,48D,1975,2018/6/20
MANHATTAN,49D,2580,2018/6/20
MANHATTAN,50D,2525,2018/6/20
MANHATTAN,51D,1150,2018/6/20
MANHATTAN,52D,1115,2018/6/20
MANHATTAN,53D,630,2018/6/20
MANHATTAN,54D,1120,2018/6/20
MANHATTAN,55D,1255,2018/6/20
MANHATTAN,56D,745,2018/6/20
MANHATTAN,57D,660,2018/6/20
MANHATTAN,58D,900,2018/6/20
MANHATTAN,59D,755,2018/6/20
MANHATTAN,60D,810,2018/6/20
MANHATTAN,61D,575,2018/6/20
MANHATTAN,62D,580,2018/6/20
MANHATTAN,63D,950,2018/6/20
MANHATTAN,64D,860,2018/6/20
MANHATTAN,45F,410,2018/6/20
MANHATTAN,46F,520,2018/6/20
MANHATTAN,47F,390,2018/6/20
MANHATTAN,48F,695,2018/6/20
MANHATTAN,49F,655,2018/6/20
MANHATTAN,50F,895,2018/6/20
MANHATTAN,51F,430,2018/6/20
MANHATTAN,52F,1575,2018/6/20
MANHATTAN,46G,,
MANHATTAN,47G,60,2018/6/20
MANHATTAN,48G,1300,2018/6/20
MANHATTAN,49G,770,2018/6/20
MANHATTAN,50G,960,2018/6/20
MANHATTAN,51G,680,2018/6/20
MANHATTAN,52G,1755,2018/6/20
MANHATTAN,53G,1260,2018/6/20
MANHATTAN,54G,560,2018/6/20
MANHATTAN,55G,835,2018/6/20
MANHATTAN,56G,565,2018/6/20
MANHATTAN,57G,1330,2018/6/20
MANHATTAN,58G,1215,2018/6/20
MANHATTAN,59G,1590,2018/6/20
MANHATTAN,60G,510,2018/6/20
MANHATTAN,61G,90,2018/6/20
MANHATTAN,62G,,
MANHATTAN,47H,390,2018/6/20
MANHATTAN,48H,1045,2018/6/20
MANHATTAN,49H,1450,2018/6/20
MANHATTAN,50H,750,2018/6/20
MANHATTAN,55E,325,2018/6/20
MANHATTAN,56E,770,2018/6/20
MANHATTAN,57E,1085,2018/6/20
MANHATTAN,58E,570,2018/6/20
MANHATTAN,59E,790,2018/6/20
MANHATTAN,60E,245,2018/6/20
MANHATTAN,61E,310,2018/6/20
MANHATTAN,62E,270,2018/6/20
MANHATTAN,63E,110,2018/6/20
MANHATTAN,64E,255,2018/6/20
MANHATTAN,65E,60,2018/6/20
MANHATTAN,50L,1385,2018/6/20
MANHATTAN,51L,185,2018/6/20
MANHATTAN,52L,,
MANHATTAN,53L,,
MANHATTAN,48J,425,2018/6/20
MANHATTAN,49J,860,2018/6/20
MANHATTAN,50J,1120,2018/6/20
MANHATTAN,51J,1060,2018/6/20
MANHATTAN,52J,600,2018/6/20
MANHATTAN,53J,320,2018/6/20
MANHATTAN,54J,140,2018/6/20
MANHATTAN,55J,,
MANHATTAN,49K,1055,2018/6/20
MANHATTAN,50K,405,2018/6/20
MANHATTAN,51K,675,2018/6/20
MANHATTAN,52K,270,2018/6/20
MANHATTAN,53K,135,2018/6/20
MANHATTAN,54K,,
MANHATTAN,48I,850,2018/6/20
MANHATTAN,49I,645,2018/6/20
MANHATTAN,50I,555,2018/6/20
MANHATTAN,51I,955,2018/6/20
MANHATTAN,52I,860,2018/6/20
MANHATTAN,53I,730,2018/6/20
MANHATTAN,54I,370,2018/6/20
MANHATTAN,55I,470,2018/6/20
MANHATTAN,56I,180,2018/6/20
MANHATTAN,57I,,
MANHATTAN,58I,,
MANHATTAN,51N,,
MANHATTAN,52N,295,2018/6/20
MANHATTAN,52O,,
MANHATTAN,53N,,
MANHATTAN,53O,,
MANHATTAN,53P,,
MANHATTAN,51M,,
MANHATTAN,41E,1275,2018/6/20
MANHATTAN,42E,1095,2018/6/20
MANHATTAN,43E,1470,2018/6/20
MANHATTAN,44E,1040,2018/6/20
MANHATTAN,45E,740,2018/6/20
MANHATTAN,46E,685,2018/6/20
MANHATTAN,24C,70,2018/6/20
MANHATTAN,25C,95,2018/6/20
MANHATTAN,26C,2690,2018/6/20
MANHATTAN,27C,245,2018/6/20
MANHATTAN,28C,1260,2018/6/20
MANHATTAN,29C,415,2018/6/20
MANHATTAN,30C,780,2018/6/20
MANHATTAN,31C,1840,2018/6/20
MANHATTAN,32C,380,2018/6/20
MANHATTAN,33C,2250,2018/6/20
MANHATTAN,34C,1110,2018/6/20
MANHATTAN,35C,1640,2018/6/20
MANHATTAN,36C,690,2018/6/20
MANHATTAN,37C,465,2018/6/20
MANHATTAN,38C,460,2018/6/20
MANHATTAN,39C,750,2018/6/20
MANHATTAN,40C,1000,2018/6/20
MANHATTAN,41C,560,2018/6/20
MANHATTAN,42C,455,2018/6/20
MANHATTAN,43C,620,2018/6/20
MANHATTAN,44C,435,2018/6/20
MANHATTAN,23B,,
MANHATTAN,24B,,
MANHATTAN,25B,,
MANHATTAN,26B,,
MANHATTAN,27B,,
MANHATTAN,28B,,
MANHATTAN,29B,,
MANHATTAN,30B,,
MANHATTAN,31B,,
MANHATTAN,32B,,
MANHATTAN,33B,,
MANHATTAN,34B,,
MANHATTAN,35B,,
MANHATTAN,36B,,
MANHATTAN,37B,,
MANHATTAN,38B,,
MANHATTAN,39B,,
MANHATTAN,40B,,
MANHATTAN,41B,,
MANHATTAN,42B,,
MANHATTAN,43B,,
MANHATTAN,29E,2050,2018/6/20
MANHATTAN,30E,1890,2018/6/20
MANHATTAN,31E,2540,2018/6/20
MANHATTAN,32E,2475,2018/6/20
MANHATTAN,33E,2375,2018/6/20
MANHATTAN,34E,2575,2018/6/20
MANHATTAN,35E,1785,2018/6/20
MANHATTAN,36E,820,2018/6/20
MANHATTAN,37E,450,2018/6/20
MANHATTAN,38E,2160,2018/6/20
MANHATTAN,39E,965,2018/6/20
MANHATTAN,40E,735,2018/6/20
MANHATTAN,25D,1055,2018/6/20
MANHATTAN,26D,2530,2018/6/20
MANHATTAN,27D,1180,2018/6/20
MANHATTAN,28D,2355,2018/6/20
MANHATTAN,29D,1610,2018/6/20
MANHATTAN,30D,4525,2018/6/20
MANHATTAN,31D,4095,2018/6/20
MANHATTAN,32D,2225,2018/6/20
MANHATTAN,33D,1745,2018/6/20
MANHATTAN,34D,2250,2018/6/20
MANHATTAN,35D,1985,2018/6/20
MANHATTAN,36D,1760,2018/6/20
MANHATTAN,37D,2160,2018/6/20
MANHATTAN,38D,2170,2018/6/20
MANHATTAN,39D,1435,2018/6/20
MANHATTAN,40D,1665,2018/6/20
MANHATTAN,41D,2015,2018/6/20
MANHATTAN,42D,1500,2018/6/20
MANHATTAN,43D,1490,2018/6/20
MANHATTAN,44D,1583,2018/6/20
MANHATTAN,45D,1350,2018/6/20
MANHATTAN,26E,2730,2018/6/20
MANHATTAN,27E,1520,2018/6/20
MANHATTAN,28E,1315,2018/6/20
MANHATTAN,34F,1330,2018/6/20
MANHATTAN,35F,580,2018/6/20
MANHATTAN,36F,490,2018/6/20
MANHATTAN,37F,995,2018/6/20
MANHATTAN,38F,370,2018/6/20
MANHATTAN,39F,475,2018/6/20
MANHATTAN,40F,595,2018/6/20
MANHATTAN,41F,470,2018/6/20
MANHATTAN,42F,345,2018/6/20
MANHATTAN,43F,550,2018/6/20
MANHATTAN,44F,265,2018/6/20
MANHATTAN,45F,410,2018/6/20
MANHATTAN,46F,520,2018/6/20
MANHATTAN,29I,6470,2018/6/20
MANHATTAN,30I,7815,2018/6/20
MANHATTAN,31I,7550,2018/6/20
MANHATTAN,32I,4045,2018/6/20
MANHATTAN,33I,1680,2018/6/20
MANHATTAN,34I,2545,2018/6/20
MANHATTAN,35I,2220,2018/6/20
MANHATTAN,36I,1645,2018/6/20
MANHATTAN,37I,3290,2018/6/20
MANHATTAN,38I,1790,2018/6/20
MANHATTAN,39I,1215,2018/6/20
MANHATTAN,40I,2310,2018/6/20
MANHATTAN,41I,2035,2018/6/20
MANHATTAN,42I,1080,2018/6/20
MANHATTAN,43I,970,2018/6/20
MANHATTAN,44I,2975,2018/6/20
MANHATTAN,45I,785,2018/6/20
MANHATTAN,46I,945,2018/6/20
MANHATTAN,27G,7405,2018/6/20
MANHATTAN,28G,10721,2018/6/20
MANHATTAN,29G,8116,2018/6/20
MANHATTAN,30G,6530,2018/6/20
MANHATTAN,31G,5254,2018/6/20
MANHATTAN,32G,,
MANHATTAN,33G,20,2018/6/20
MANHATTAN,34G,,
MANHATTAN,35G,,
MANHATTAN,36G,,
MANHATTAN,37G,,
MANHATTAN,38G,90,2018/6/20
MANHATTAN,39G,,
MANHATTAN,40G,,
MANHATTAN,41G,,
MANHATTAN,42G,,
MANHATTAN,43G,,
MANHATTAN,44G,,
MANHATTAN,45G,,
MANHATTAN,46G,,
MANHATTAN,47G,60,2018/6/20
MANHATTAN,28H,7290,2018/6/20
MANHATTAN,29H,8600,2018/6/20
MANHATTAN,30H,7550,2018/6/20
MANHATTAN,31H,4755,2018/6/20
MANHATTAN,32H,550,2018/6/20
MANHATTAN,33H,665,2018/6/20
MANHATTAN,34H,395,2018/6/20
MANHATTAN,35H,655,2018/6/20
MANHATTAN,36H,625,2018/6/20
MANHATTAN,37H,450,2018/6/20
MANHATTAN,38H,2255,2018/6/20
MANHATTAN,39H,2080,2018/6/20
MANHATTAN,40H,370,2018/6/20
MANHATTAN,41H,490,2018/6/20
MANHATTAN,42H,415,2018/6/20
MANHATTAN,43H,300,2018/6/20
MANHATTAN,44H,620,2018/6/20
MANHATTAN,45H,320,2018/6/20
MANHATTAN,46H,250,2018/6/20
MANHATTAN,47H,390,2018/6/20
MANHATTAN,48H,1045,2018/6/20
MANHATTAN,26F,8940,2018/6/20
MANHATTAN,27F,4581,2018/6/20
MANHATTAN,28F,5905,2018/6/20
MANHATTAN,29F,4164,2018/6/20
MANHATTAN,30F,7170,2018/6/20
MANHATTAN,31F,4930,2018/6/20
MANHATTAN,32F,2540,2018/6/20
MANHATTAN,33F,765,2018/6/20
MANHATTAN,38L,1700,2018/6/20
MANHATTAN,39L,1070,2018/6/20
MANHATTAN,40L,930,2018/6/20
MANHATTAN,41L,1415,2018/6/20
MANHATTAN,42L,900,2018/6/20
MANHATTAN,43L,,
MANHATTAN,44L,260,2018/6/20
MANHATTAN,45L,210,2018/6/20
MANHATTAN,46L,325,2018/6/20
MANHATTAN,47L,125,2018/6/20
MANHATTAN,48L,,
MANHATTAN,49L,130,2018/6/20
MANHATTAN,50L,1385,2018/6/20
MANHATTAN,51L,185,2018/6/20
MANHATTAN,29J,5471,2018/6/20
MANHATTAN,38J,2335,2018/6/20
MANHATTAN,39J,2130,2018/6/20
MANHATTAN,40J,3155,2018/6/20
