Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BRONX,37U,,
BRONX,38U,,
BRONX,39U,,
BRONX,40U,,
BRONX,41U,,
BRONX,42U,,
BRONX,43U,,
BRONX,44U,,
BRONX,45U,,
BRONX,46U,,
BRONX,33J,15,6/20/2018
BRONX,35J,135,6/20/2018
BRONX,36J,280,6/20/2018
BRONX,37J,115,6/20/2018
BRONX,38J,155,6/20/2018
BRONX,39J,,
BRONX,46J,105,6/20/2018
BRONX,47J,105,6/20/2018
BRONX,48J,80,6/20/2018
BRONX,49J,40,6/20/2018
BRONX,50J,,
BRONX,44T,,
BRONX,45T,,
BRONX,33M,225,6/20/2018
BRONX,34M,280,6/20/2018
BRONX,35M,170,6/20/2018
BRONX,36M,325,6/20/2018
BRONX,37M,,
BRONX,35N,260,6/20/2018
BRONX,36N,1715,6/20/2018
BRONX,37N,160,6/20/2018
BRONX,38N,45,6/20/2018
BRONX,40N,,
BRONX,41N,,
BRONX,42N,,
BRONX,43N,,
BRONX,34R,70,6/20/2018
BRONX,35R,150,6/20/2018
BRONX,36R,185,6/20/2018
BRONX,37R,150,6/20/2018
BRONX,38R,180,6/20/2018
BRONX,39R,150,6/20/2018
BRONX,40R,,
BRONX,41R,,
BRONX,42R,,
BRONX,43R,,
BRONX,44R,,
BRONX,45R,,
BRONX,33H,460,6/20/2018
BRONX,34H,275,6/20/2018
BRONX,35H,395,6/20/2018
BRONX,36H,555,6/20/2018
BRONX,37H,230,6/20/2018
BRONX,38H,125,6/20/2018
BRONX,39H,350,6/20/2018
BRONX,40H,85,6/20/2018
BRONX,43Q,,
BRONX,44Q,,
BRONX,45Q,,
BRONX,17F,409,6/20/2018
BRONX,18F,320,6/20/2018
BRONX,19F,376,6/20/2018
BRONX,20F,1045,6/20/2018
BRONX,21F,280,6/20/2018
BRONX,22F,145,6/20/2018
BRONX,23F,315,6/20/2018
BRONX,24F,225,6/20/2018
BRONX,25F,310,6/20/2018
BRONX,26F,310,6/20/2018
BRONX,27F,30,6/20/2018
BRONX,28F,75,6/20/2018
BRONX,29F,,
BRONX,34F,160,6/20/2018
BRONX,25D,35,6/20/2018
BRONX,17E,363,6/20/2018
BRONX,18E,615,6/20/2018
BRONX,19E,535,6/20/2018
BRONX,20E,390,6/20/2018
BRONX,21E,345,6/20/2018
BRONX,22E,425,6/20/2018
BRONX,23E,285,6/20/2018
BRONX,24E,365,6/20/2018
BRONX,25E,135,6/20/2018
BRONX,26E,85,6/20/2018
BRONX,27E,100,6/20/2018
BRONX,34E,,
BRONX,17A,,
BRONX,17B,815,6/20/2018
BRONX,18B,485,6/20/2018
BRONX,19B,75,6/20/2018
BRONX,20B,,
BRONX,21B,,
BRONX,17C,606,6/20/2018
BRONX,18C,195,6/20/2018
BRONX,19C,545,6/20/2018
BRONX,20C,605,6/20/2018
BRONX,21C,,
BRONX,22C,170,6/20/2018
BRONX,23C,80,6/20/2018
BRONX,24C,245,6/20/2018
BRONX,17D,1331,6/20/2018
BRONX,18D,415,6/20/2018
BRONX,19D,185,6/20/2018
BRONX,20D,375,6/20/2018
BRONX,21D,250,6/20/2018
BRONX,22D,305,6/20/2018
BRONX,23D,200,6/20/2018
BRONX,24D,520,6/20/2018
BRONX,27G,285,6/20/2018
BRONX,28G,185,6/20/2018
BRONX,29G,120,6/20/2018
BRONX,30G,35,6/20/2018
BRONX,31G,,
BRONX,32G,,
BRONX,33G,605,6/20/2018
BRONX,17G,295,6/20/2018
BRONX,18G,420,6/20/2018
BRONX,19G,,
BRONX,20G,240,6/20/2018
BRONX,21G,255,6/20/2018
BRONX,22G,700,6/20/2018
BRONX,23G,320,6/20/2018
BRONX,24G,230,6/20/2018
BRONX,25G,395,6/20/2018
BRONX,26G,135,6/20/2018
BRONX,34G,370,6/20/2018
BRONX,16O,460,6/20/2018
BRONX,17O,50,6/20/2018
BRONX,18O,185,6/20/2018
BRONX,19O,410,6/20/2018
BRONX,25O,,
BRONX,31O,,
BRONX,32O,180,6/20/2018
BRONX,28P,45,6/20/2018
BRONX,29P,,
BRONX,30P,25,6/20/2018
BRONX,31P,125,6/20/2018
BRONX,32P,30,6/20/2018
BRONX,33P,115,6/20/2018
BRONX,16Q,140,6/20/2018
BRONX,17Q,485,6/20/2018
BRONX,18Q,240,6/20/2018
BRONX,19Q,,
BRONX,20Q,155,6/20/2018
BRONX,21Q,125,6/20/2018
BRONX,22Q,60,6/20/2018
BRONX,23Q,325,6/20/2018
BRONX,24Q,425,6/20/2018
BRONX,25Q,200,6/20/2018
BRONX,26Q,315,6/20/2018
BRONX,27Q,490,6/20/2018
BRONX,28Q,140,6/20/2018
BRONX,33O,270,6/20/2018
BRONX,16P,160,6/20/2018
BRONX,15AA,,
BRONX,16AA,,
BRONX,17AA,,
BRONX,18AA,,
BRONX,29Q,430,6/20/2018
BRONX,30Q,180,6/20/2018
BRONX,31Q,80,6/20/2018
BRONX,32Q,105,6/20/2018
BRONX,33Q,75,6/20/2018
BRONX,17H,335,6/20/2018
BRONX,18H,435,6/20/2018
BRONX,19H,405,6/20/2018
BRONX,20H,250,6/20/2018
BRONX,21H,230,6/20/2018
BRONX,22H,175,6/20/2018
BRONX,23H,315,6/20/2018
BRONX,24H,295,6/20/2018
BRONX,25H,620,6/20/2018
BRONX,26H,275,6/20/2018
BRONX,27H,335,6/20/2018
BRONX,28H,360,6/20/2018
BRONX,29H,365,6/20/2018
BRONX,30H,160,6/20/2018
