ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
358,BRONX,22E,425,6/20/2018,22,E,40.84738053,73.91698375,10453
393,BRONX,24D,520,6/20/2018,24,D,40.85185961,73.92143192,10453
427,BRONX,26I,520,6/20/2018,26,I,40.85727317,73.9009005,10453
411,BRONX,25H,620,6/20/2018,25,H,40.85480001,73.90492131,10453
360,BRONX,22G,700,6/20/2018,22,G,40.84769203,73.90865721,10453
1,BRONX,1E,15,6/20/2018,1,E,40.79871487,73.91399223,10454
3,BRONX,2D,35,6/20/2018,2,D,40.80087654,73.91829795,10454
52,BRONX,7A,40,6/20/2018,7,A,40.81199635,73.93150001,10454
12,BRONX,3G,50,6/20/2018,3,G,40.80366119,73.90595061,10454
5,BRONX,2F,55,6/20/2018,2,F,40.80118803,73.90997142,10454
2,BRONX,1F,85,6/20/2018,1,F,40.79887062,73.90982897,10454
4,BRONX,2E,125,6/20/2018,2,E,40.80103229,73.91413468,10454
32,BRONX,5G,125,6/20/2018,5,G,40.80829602,73.90623551,10454
44,BRONX,6F,125,6/20/2018,6,F,40.81045768,73.91054123,10454
26,BRONX,5A,145,6/20/2018,5,A,40.80736153,73.93121511,10454
43,BRONX,6E,160,6/20/2018,6,E,40.81030193,73.9147045,10454
10,BRONX,3E,180,6/20/2018,3,E,40.8033497,73.91427714,10454
55,BRONX,7D,180,6/20/2018,7,D,40.8124636,73.91901022,10454
8,BRONX,3C,182,6/20/2018,3,C,40.8030382,73.92260367,10454
21,BRONX,4F,195,6/20/2018,4,F,40.80582286,73.91025633,10454
27,BRONX,5B,200,6/20/2018,5,B,40.80751728,73.92705184,10454
6,BRONX,2G,205,6/20/2018,2,G,40.80134378,73.90580815,10454
18,BRONX,4C,207,6/20/2018,4,C,40.80535561,73.92274612,10454
31,BRONX,5F,215,6/20/2018,5,F,40.80814027,73.91039878,10454
9,BRONX,3D,235,6/20/2018,3,D,40.80319395,73.9184404,10454
11,BRONX,3F,289,6/20/2018,3,F,40.80350545,73.91011387,10454
41,BRONX,6C,315,6/20/2018,6,C,40.80999044,73.92303103,10454
17,BRONX,4B,350,6/20/2018,4,B,40.80519987,73.92690939,10454
22,BRONX,4G,360,6/20/2018,4,G,40.80597861,73.90609306,10454
19,BRONX,4D,385,6/20/2018,4,D,40.80551136,73.91858286,10454
28,BRONX,5C,500,6/20/2018,5,C,40.80767303,73.92288857,10454
