Zip,Min.,Medium.,Max.,Med/TotPop,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_AmerIndian,Tot_Asian,Tot_PacificIsla,Tot_Other,Tot_Two&More,Pro_Hisp/Lati,Pro_White,Pro_Black/AfricanAmer,Pro_AmerIndian,Pro_Asian,Pro_PacificIsla,Pro_Other,Pro_Two&More,Inc_Hisp/Lati,Error Range,Inc_White,Error Range,Inc_Black/AfricanAmer,Error Range,Inc_Asian,Error Range
10030,285,907.5,1330,0.03,29526.93,7063.87,3926.31,16092.96,70.06,858.49,28.85,253.18,1233.22,24%,13%,55%,0%,3%,0%,1%,4%,33263,6485,74808,13131,36502,4615,70125,47818
10031,245,745,5730,0.01,55441.12,28486.15,9954.31,12424.08,82.61,2096.08,16.18,495.96,1885.75,51%,18%,22%,0%,4%,0%,1%,3%,40666,3740,78317,8064,40967,6106,92883,23783
10032,60,575,2505,0.01,55584.51,34395.33,9506.07,7368.38,56.47,2429.05,17.53,413.08,1398.61,62%,17%,13%,0%,4%,0%,1%,3%,44420,4012,64653,8194,40958,7099,73313,11054
10033,100,660,1660,0.01,50349.05,32044.28,12779.77,2389.74,30.20,1519.50,13.60,456.15,1115.81,64%,25%,5%,0%,3%,0%,1%,2%,44298,8706,80679,7173,62547,12286,50726,41176
10034,10,317.5,1130,0.01,36833.45,25238.37,7252.36,2355.51,30.21,788.84,6.98,297.88,863.29,69%,20%,6%,0%,2%,0%,1%,2%,41316,6016,69805,8842,45579,13267,79674,24750
10035,90,600,2255,0.02,37292.32,17490.54,4316.53,12152.13,88.40,1772.81,10.67,282.96,1178.28,47%,12%,33%,0%,5%,0%,1%,3%,21967,4245,62281,5658,22990,4268,76075,8747
10036,245,4581,9713,0.14,32906.88,6086.05,15069.31,3463.22,57.51,6650.26,24.03,269.85,1286.64,18%,46%,11%,0%,20%,0%,1%,4%,40057,7338,95336,10794,54922,43010,113098,16251
10037,140,587.5,1620,0.03,20259.93,4665.53,1922.80,11992.65,42.93,668.11,5.57,149.28,813.05,23%,9%,59%,0%,3%,0%,1%,4%,32722,16336,83641,12265,41262,8551,63672,25100
10038,100,932.5,7175,0.04,24835.92,3571.68,11049.72,1746.02,16.59,7290.86,20.40,171.12,969.54,14%,44%,7%,0%,29%,0%,1%,4%,35068,9241,133723,14565,35968,15958,36044,8958
10039,75,660,1590,0.02,29513.60,8484.45,1965.45,17127.60,81.51,690.35,14.76,197.24,952.24,29%,7%,58%,0%,2%,0%,1%,3%,33527,3088,70600,15368,41731,8144,44896,34712
