Zip,Min.,Medium.,Avg.,Max.,Med/TotPop,Avg/TotPop,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_AmerIndian,Tot_Asian,Tot_PacificIsla,Tot_Other,Tot_Two&More,Pro_Hisp/Lati,Pro_White,Pro_Black/AfricanAmer,Pro_AmerIndian,Pro_Asian,Pro_PacificIsla,Pro_Other,Pro_Two&More,Inc_Hisp/Lati,Error Range,Inc_White,Error Range,Inc_Black/AfricanAmer,Error Range,Inc_Asian,Error Range
11235,40,275,329.2857143,1030,0.003257858,0.003900967,84411.3,8321.7,56203.4,2504.4,45,13766.3,14,533.1,3023.4,0.0986,0.6658,0.0297,0.0005,0.1631,0.0002,0.0063,0.0358,50330,8951,53393,1792,74909,39592,71625,7090
11236,20,160,175.6896552,480,0.001601253,0.001758273,99921.7,7974.1,3569.4,80062.1,144.9,1913.5,18.3,1011,5228.5,0.0798,0.0357,0.8012,0.0015,0.0191,0.0002,0.0101,0.0523,50795,19941,50962,7725,74192,3051,68056,12597
11237,15,490,487.7272727,825,0.009995036,0.009948677,49024.3,27778.6,12160.1,3386.1,104.5,3566.8,31.2,549.3,1447.7,0.5666,0.248,0.0691,0.0021,0.0728,0.0006,0.0112,0.0295,39279,5287,70403,5504,50526,12364,78333,7944
11238,35,520,469.25,1165,0.008391253,0.007572299,61969.3,7451,27488,17542.4,72.8,4968.3,20.6,613.3,3812.9,0.1202,0.4436,0.2831,0.0012,0.0802,0.0003,0.0099,0.0615,62788,9187,134444,7483,47158,5871,117303,15509
11239,20,40,135.7142857,475,0.002347693,0.007965388,17038,3344,2595,9873,33,424,0,130,639,0.1963,0.1523,0.5795,0.0019,0.0249,0,0.0076,0.0375,30321,8994,17043,2008,42659,6985,21094,19229
11354,25,240,384.8648649,1960,0.004680972,0.007506424,51271.4,8681.8,6675,1419.6,22.5,33556.2,10,230.1,676.1,0.1693,0.1302,0.0277,0.0004,0.6545,0.0002,0.0045,0.0132,46793,8243,52570,6914,24306,5240,37791,5002
11355,35,145,310.862069,1380,0.001679691,0.003601049,86325.4,12093.6,4708.8,1931.7,58.9,66183,6.4,462.6,880.3,0.1401,0.0545,0.0224,0.0007,0.7667,0.0001,0.0054,0.0102,54086,10286,57201,9687,56827,35489,39542,2354
11356,30,102.5,135,345,0.003666044,0.004828449,27959.3,11582.3,5612.8,516.5,31,9599.4,3.5,175,438.9,0.4143,0.2007,0.0185,0.0011,0.3433,0.0001,0.0063,0.0157,61970,8604,62276,11810,0,**,63507,10774
11357,35,90,108.6111111,475,0.002193093,0.002646603,41037.9,6169.8,21800.3,334.6,9.4,11925.3,5.8,214.1,578.5,0.1503,0.5312,0.0082,0.0002,0.2906,0.0001,0.0052,0.0141,86584,18453,87276,3416,99250,86637,74278,11088
11358,25,115,130.4166667,370,0.002792069,0.003166369,41188.1,7388.2,11509.2,473,15.5,21007.9,7.1,177.8,609.2,0.1794,0.2794,0.0115,0.0004,0.51,0.0002,0.0043,0.0148,63826,8109,75274,4740,65938,61039,63830,5893
11360,15,135,200,895,0.00676154,0.010017096,19965.9,2284.5,10294.8,355.2,10.1,6536,1.8,120.5,362.9,0.1144,0.5156,0.0178,0.0005,0.3274,0.0001,0.006,0.0182,84940,9170,81450,6341,0,**,91210,24658
11361,10,135,168.4210526,610,0.004662073,0.005816232,28957.1,4208.6,10249.3,783,14.7,12988.4,5.2,162,546,0.1453,0.3539,0.027,0.0005,0.4485,0.0002,0.0056,0.0189,91364,16812,93333,6216,90197,43598,78279,7177
11362,10,60,102.1428571,270,0.00340499,0.00579659,17621.2,1637.2,6869.9,331.3,10,8371.3,2,89.7,309.8,0.0929,0.3899,0.0188,0.0006,0.4751,0.0001,0.0051,0.0176,57200,41768,84815,15176,245492,198666,102305,9373
11364,10,80,98.6,365,0.002150186,0.002650105,37206.1,3889.4,10560.3,1031.5,22.1,20720.5,0,231.7,750.5,0.1045,0.2838,0.0277,0.0006,0.5569,0,0.0062,0.0202,95027,17358,78952,3529,91393,12697,84578,10357
11365,5,110,169.375,775,0.003132274,0.004822991,35118.3,5138.4,7257.5,2354.9,47.7,19280.2,2.4,272.2,765,0.1463,0.2067,0.0671,0.0014,0.549,0.0001,0.0078,0.0218,75729,16655,68329,5783,45313,23390,71653,5520
11366,30,97.5,199.1666667,485,0.006553287,0.01338663,14878,1973.5,4880.8,808.7,13.9,6543.5,4.1,201.6,451.9,0.1326,0.3281,0.0544,0.0009,0.4398,0.0003,0.0135,0.0304,67153,7712,99677,9141,80069,47647,73393,16943
11367,5,120,176.4864865,745,0.002780385,0.004089169,43159.5,6863.2,17760.1,3508.4,59,13160.6,9.6,540.2,1258.6,0.159,0.4115,0.0813,0.0014,0.3049,0.0002,0.0125,0.0292,59271,15815,72021,5831,54417,40257,52314,6488
11368,0,220,296.6666667,1115,0.001902228,0.002565126,115653.9,88863.3,4141.4,7428.1,184.6,12817.7,21.6,998.1,1199,0.7684,0.0358,0.0642,0.0016,0.1108,0.0002,0.0086,0.0104,56235,2462,51000,3940,49768,9017,46776,12658
11369,50,135,215,655,0.003379178,0.005381654,39950.5,25706,2362.6,5020.2,87.4,5619.4,10.5,499.2,645.3,0.6434,0.0591,0.1257,0.0022,0.1407,0.0003,0.0125,0.0162,50560,3390,71304,18334,53977,8658,62697,12859
11370,60,125,196.5,685,0.00511333,0.008038155,24445.9,11020.6,6636.2,569.5,23.5,5561.8,11.4,284,338.8,0.4508,0.2715,0.0233,0.001,0.2275,0.0005,0.0116,0.0139,61029,9731,66450,9340,36955,21017,74307,10455
11371,140,140,140,140,1.36659436,1.36659436,102.4,64.9,6.7,9.5,0.4,17.9,0,1.4,1.6,0.6339,0.0653,0.0925,0.0041,0.1749,0,0.0136,0.0157,0,**,0,**,0,**,0,**
11372,270,695,719.5454545,1220,0.010063095,0.010418495,69064.2,37199.7,11115.1,1113.6,106.9,17384.5,15.7,755.1,1373.5,0.5386,0.1609,0.0161,0.0015,0.2517,0.0002,0.0109,0.0199,51757,5649,65255,2769,62734,18442,58629,10754
11373,40,465,523.8461538,1910,0.004339188,0.004888316,107162.9,42746.1,5801.5,2442.6,131.9,53794.1,18.3,761.5,1466.9,0.3989,0.0541,0.0228,0.0012,0.502,0.0002,0.0071,0.0137,52674,2658,52154,4234,77530,15883,57560,3004
11374,50,337.5,409.7222222,1045,0.007248704,0.008799867,46560,8704.8,18286.2,1335.5,70.4,15420.1,3,646.2,2093.8,0.187,0.3927,0.0287,0.0015,0.3312,0.0001,0.0139,0.045,63641,17853,62379,5138,79226,25495,78769,7702
11375,10,195,312.9166667,1435,0.002640582,0.004237345,73847.3,11148.7,34617.9,2157.8,37.6,21758,12.2,859.2,3256,0.151,0.4688,0.0292,0.0005,0.2946,0.0002,0.0116,0.0441,78837,6818,81480,3047,89554,30939,100307,5045
11377,15,222.5,268.75,690,0.002544965,0.003073975,87427.5,30316,16796.4,2551.8,80.5,35047,22.1,789.6,1824.3,0.3468,0.1921,0.0292,0.0009,0.4009,0.0003,0.009,0.0209,55361,4743,62381,5224,32826,11845,56848,3285
11378,10,205,210.6578947,670,0.005341809,0.00548924,38376.5,12377.6,18220.8,543.4,28.2,6299.5,10,334.4,562.7,0.3225,0.4748,0.0142,0.0007,0.1641,0.0003,0.0087,0.0147,72202,9202,81634,6130,80000,65682,73262,7016
11379,25,105,139,525,0.002786067,0.003688222,37687.5,8071.1,23158.4,548.6,32.8,4887.8,7.9,223.9,756.9,0.2142,0.6145,0.0146,0.0009,0.1297,0.0002,0.0059,0.0201,59688,16183,85459,5298,69167,31309,98088,11764
11385,55,247.5,263.1,850,0.002501989,0.002659691,98921.3,42392.5,43421.6,2716.8,95.9,7240.9,34.6,865.3,2153.5,0.4285,0.439,0.0275,0.001,0.0732,0.0003,0.0087,0.0218,70853,4576,75462,3222,85379,19169,77176,10208
11411,25,40,35,40,0.002051004,0.001794628,19502.6,1359.2,265.9,16425.4,56.5,307,6.8,235.6,846.2,0.0697,0.0136,0.8422,0.0029,0.0157,0.0003,0.0121,0.0434,88661,23979,64741,18911,101047,8392,128438,83063
11412,30,40,45,65,0.001049032,0.001180161,38130.4,3596,413.9,29594.4,152.5,1461.1,27,779.6,2105.9,0.0943,0.0109,0.7761,0.004,0.0383,0.0007,0.0204,0.0552,90508,15979,67500,52355,80427,5339,77727,19670
11413,60,75,114.4444444,220,0.001724227,0.002631043,43497.8,3707.6,613.9,35641.7,174.6,622.8,12.9,608.2,2116,0.0852,0.0141,0.8194,0.004,0.0143,0.0003,0.014,0.0486,87344,26258,86563,26578,94161,5246,94006,2191
11414,165,165,165,165,0.006057903,0.006057903,27237.1,6848.1,17063.3,842.6,27.9,1579.6,10,258.3,607.5,0.2514,0.6265,0.0309,0.001,0.058,0.0004,0.0095,0.0223,60719,12214,80740,8323,102266,23806,63125,50166
11415,35,215,291.3636364,870,0.010197608,0.013819591,21083.4,5819.1,8304.5,1606.6,44.5,3932.3,7,460.9,908.5,0.276,0.3939,0.0762,0.0021,0.1865,0.0003,0.0219,0.0431,62529,8702,69980,5120,71823,12192,82614,25092
11416,35,135,138.9285714,260,0.004913563,0.005056551,27475,11144.9,2498.1,1674.3,309,8852.1,10.7,1521.2,1464.6,0.4056,0.0909,0.0609,0.0112,0.3222,0.0004,0.0554,0.0533,75099,7495,74336,9989,74760,14135,67167,13101
11417,25,57.5,128.75,400,0.001813541,0.004060756,31705.9,11332.6,5274.8,2643.7,371.6,8373.8,9.8,2030.2,1669.6,0.3574,0.1664,0.0834,0.0117,0.2641,0.0003,0.064,0.0527,86641,13127,79958,9435,66115,13273,78056,11602
11418,10,162.5,197.8571429,845,0.00441508,0.005375724,36805.7,16228.9,5387.8,2873.2,362.2,8124.3,37.9,1992.6,1798.7,0.4409,0.1464,0.0781,0.0098,0.2207,0.001,0.0541,0.0489,64741,6042,66028,5439,63684,4321,76884,4920
11419,40,195,181.5384615,445,0.004134519,0.003849099,47163.9,8748.5,1918.6,6061.7,1393.9,16400.6,79,7356.3,5205.3,0.1855,0.0407,0.1285,0.0296,0.3477,0.0017,0.156,0.1104,71532,8050,75911,16243,90405,8961,75513,4676
11420,140,140,140,140,0.002882187,0.002882187,48574.2,9203.3,2564.4,10790.8,1468.8,11740.7,89.6,6894.9,5821.8,0.1895,0.0528,0.2222,0.0302,0.2417,0.0018,0.1419,0.1199,82569,15132,74145,15680,71555,10424,81523,10067
11421,35,135,154.3478261,365,0.003134779,0.003584047,43065.2,25340.9,5753,1798.9,156,7852.9,22.1,1101.4,1040.1,0.5884,0.1336,0.0418,0.0036,0.1823,0.0005,0.0256,0.0242,76028,5257,71032,6498,65809,19785,86352,11881
11422,65,87.5,87.5,110,0.002673463,0.002673463,32729.1,3312.4,992.3,25479.5,113.9,700.3,10,524.6,1596.3,0.1012,0.0303,0.7785,0.0035,0.0214,0.0003,0.016,0.0488,81382,12472,63553,23288,90386,5586,83281,48919
11423,10,120,134.5238095,325,0.003851562,0.004317724,31156.2,5081.2,2436.9,10796.5,308.6,8111.6,34,2400.2,1987.2,0.1631,0.0782,0.3465,0.0099,0.2604,0.0011,0.077,0.0638,59617,10248,81571,19568,70470,4651,86692,11896
11426,30,30,30,30,0.001573645,0.001573645,19064,2992.1,4082.8,1259.3,65.2,9643.3,12.7,466,542.6,0.157,0.2142,0.0661,0.0034,0.5058,0.0007,0.0244,0.0285,110694,25915,86801,7001,64178,11239,118457,16569
11427,10,82.5,105.3125,310,0.003522347,0.004496329,23421.9,4069.8,3533.3,4839.1,168.8,8393.8,30.2,1283.8,1103,0.1738,0.1509,0.2066,0.0072,0.3584,0.0013,0.0548,0.0471,76890,6519,82577,14566,64798,12606,92260,9974
11428,10,130,150.7692308,375,0.006157758,0.007141542,21111.6,4478.8,1450.4,5041.9,271.3,6354.2,23.3,1943.6,1548.2,0.2121,0.0687,0.2388,0.0129,0.301,0.0011,0.0921,0.0733,75958,17994,59005,9601,91727,7338,82045,24469
11429,15,107.5,100,190,0.004386832,0.004080774,24505.2,3429.2,533.8,16590.7,104.8,1876.5,15.3,678.9,1276.1,0.1399,0.0218,0.677,0.0043,0.0766,0.0006,0.0277,0.0521,94625,16290,94348,17194,89391,9157,135685,16380
11432,15,225,350.1282051,2110,0.003483182,0.005420269,64596.1,14658.3,7631.7,9336.9,271.4,28146.7,70,2015.6,2465.5,0.2269,0.1181,0.1445,0.0042,0.4357,0.0011,0.0312,0.0382,0,**,72083,7099,60208,8814,70376,4457
11433,15,92.5,198,1125,0.00238836,0.005112382,38729.5,7470.1,496.3,20586.9,287.9,6300.3,46.3,1400.3,2141.5,0.1929,0.0128,0.5316,0.0074,0.1627,0.0012,0.0362,0.0553,53879,4382,58571,34121,58568,7412,65560,32124
11434,55,72.5,83.75,135,0.001348201,0.001557404,53775.4,6663.4,861.5,38892.5,359.4,2448.9,55.8,1356.9,3137.2,0.1239,0.016,0.7232,0.0067,0.0455,0.001,0.0252,0.0583,49419,4568,68000,21419,63055,3310,81938,12621
11435,10,237.5,344.0384615,1685,0.004064851,0.005888273,58427.7,17829.4,6297.9,12784,672.8,15340.2,38.3,2564.6,2900.5,0.3052,0.1078,0.2188,0.0115,0.2625,0.0007,0.0439,0.0496,69917,14936,67920,5265,73626,5443,66834,10914
11436,40,40,40,40,0.001921902,0.001921902,20812.7,3033.6,345.3,10953.9,431.1,2404.1,48.7,1661.5,1934.5,0.1458,0.0166,0.5263,0.0207,0.1155,0.0023,0.0798,0.0929,58179,3794,89271,21772,72702,5903,76875,20353
11693,10,42.5,6204.320046,75,0.003436804,0.501718402,12366.1,2689.3,5479.2,3111.8,26.9,468.9,2.7,163.8,423.7,0.2175,0.4431,0.2516,0.0022,0.0379,0.0002,0.0132,0.0343,84395,16830,61902,7678,51842,26161,38445,26000
